dataset,tracker,video,frame,inference_time[ms],confidence,class_index,x1,y1,x2,y2
test,yolov8,D03_20221009024201-01,0,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,1,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,2,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,3,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,4,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,5,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,6,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,7,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,8,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,9,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,10,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,11,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,12,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,13,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,14,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,15,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,16,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,17,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,18,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,19,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,20,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,21,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,22,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,23,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,24,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,25,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,26,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,27,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,28,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,29,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,30,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,31,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,32,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,33,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,34,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,35,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,36,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,37,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,38,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,39,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,40,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,41,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,42,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,43,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,44,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,45,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,46,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,47,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,48,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,49,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,50,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,51,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,52,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,53,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,54,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,55,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,56,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,57,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,58,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,59,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,60,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,61,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,62,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,63,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,64,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,65,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,66,,,,255,724,426,914
test,yolov8,D03_20221009024201-01,67,,,,255,724,426,914
