dataset,tracker,video,frame,inference_time[ms],confidence,class_index,x1,y1,x2,y2
test,yolov8,IP Camera3_GRABADOR_GRABADOR_20221017032520_20221017094758_259243585-00,0,,,,1150,844,1390,971
test,yolov8,IP Camera3_GRABADOR_GRABADOR_20221017032520_20221017094758_259243585-00,1,,,,1150,844,1390,971
test,yolov8,IP Camera3_GRABADOR_GRABADOR_20221017032520_20221017094758_259243585-00,2,,,,1150,844,1390,971
test,yolov8,IP Camera3_GRABADOR_GRABADOR_20221017032520_20221017094758_259243585-00,3,,,,1150,844,1390,971
test,yolov8,IP Camera3_GRABADOR_GRABADOR_20221017032520_20221017094758_259243585-00,4,,,,1150,844,1390,971
test,yolov8,IP Camera3_GRABADOR_GRABADOR_20221017032520_20221017094758_259243585-00,5,,,,1150,844,1390,971
test,yolov8,IP Camera3_GRABADOR_GRABADOR_20221017032520_20221017094758_259243585-00,6,,,,1150,844,1390,971
test,yolov8,IP Camera3_GRABADOR_GRABADOR_20221017032520_20221017094758_259243585-00,7,,,,1150,844,1390,971
test,yolov8,IP Camera3_GRABADOR_GRABADOR_20221017032520_20221017094758_259243585-00,8,,,,1150,844,1390,971
test,yolov8,IP Camera3_GRABADOR_GRABADOR_20221017032520_20221017094758_259243585-00,9,,,,1150,844,1390,971
test,yolov8,IP Camera3_GRABADOR_GRABADOR_20221017032520_20221017094758_259243585-00,10,,,,1150,844,1390,971
test,yolov8,IP Camera3_GRABADOR_GRABADOR_20221017032520_20221017094758_259243585-00,11,,,,1150,844,1390,971
test,yolov8,IP Camera3_GRABADOR_GRABADOR_20221017032520_20221017094758_259243585-00,12,,,,1150,844,1390,971
test,yolov8,IP Camera3_GRABADOR_GRABADOR_20221017032520_20221017094758_259243585-00,13,,,,1150,844,1390,971
test,yolov8,IP Camera3_GRABADOR_GRABADOR_20221017032520_20221017094758_259243585-00,14,,,,1150,844,1390,971
